CHEMONTID:0000000	Organic compounds
CHEMONTID:0000045	Phenylpropenes
CHEMONTID:0000046	Hydroxyeicosatetraenoic acids
CHEMONTID:0000047	Podophyllotoxins
CHEMONTID:0000048	Tetralins
CHEMONTID:0000049	Tametralines
CHEMONTID:0000050	Lactones
CHEMONTID:0000051	Aromatic monoterpenoids
CHEMONTID:0000052	Brominated biphenyls
CHEMONTID:0000053	Aminoquinolines and derivatives
CHEMONTID:0000054	Benzylisoquinolines
CHEMONTID:0000055	Dibenzothiazepines
CHEMONTID:0000056	Quinolones and derivatives
CHEMONTID:0000057	Hydroxyquinolines
CHEMONTID:0000058	Morphinans
CHEMONTID:0000059	Coumaric acids and derivatives
CHEMONTID:0000060	Alpha amino acids and derivatives
CHEMONTID:0000061	Indoloquinolines
CHEMONTID:0000062	2-sulfobenzoic acids
CHEMONTID:0000063	Nitrate esters
CHEMONTID:0000064	Macrolactams
CHEMONTID:0000065	Arsoles
CHEMONTID:0000066	Oxazepines
CHEMONTID:0000067	Pyrazines
CHEMONTID:0000068	Thiazepines
CHEMONTID:0000069	Azepines
CHEMONTID:0000070	Oxetanes
CHEMONTID:0000071	Diazepines
CHEMONTID:0000072	Dibenzodiazepines
CHEMONTID:0000073	Oxetenes
CHEMONTID:0000074	Pyridazines and derivatives
CHEMONTID:0000075	Pyrimidines and pyrimidine derivatives
CHEMONTID:0000076	Furans
CHEMONTID:0000077	Thiosalicylic acids and derivatives
CHEMONTID:0000078	Imidazoles
CHEMONTID:0000079	Imidazolines
CHEMONTID:0000080	Indazoles
CHEMONTID:0000081	Isoxazoles
CHEMONTID:0000082	Oxazines
CHEMONTID:0000083	Oxazoles
CHEMONTID:0000084	Oxazolines
CHEMONTID:0000085	Phosphinines
CHEMONTID:0000086	Pyrans
CHEMONTID:0000087	Pyrazoles
CHEMONTID:0000088	Pyrazolines
CHEMONTID:0000089	Pyridines and derivatives
CHEMONTID:0000090	Pyrroles
CHEMONTID:0000091	Pyrrolines
CHEMONTID:0000092	Tetrazines
CHEMONTID:0000093	Thiadiazoles
CHEMONTID:0000094	Thiazines
CHEMONTID:0000095	Thiazoles
CHEMONTID:0000096	Thiepins
CHEMONTID:0000097	Thiophenes
CHEMONTID:0000098	Triazines
CHEMONTID:0000099	Triazoles
CHEMONTID:0000100	Phenanthridines and derivatives
CHEMONTID:0000101	Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids
CHEMONTID:0000102	Azetidines
CHEMONTID:0000103	Aziridines
CHEMONTID:0000104	Azirines
CHEMONTID:0000105	Dioxolanes
CHEMONTID:0000106	Oxathiolanes
CHEMONTID:0000107	Oxazinanes
CHEMONTID:0000108	Oxazolidines
CHEMONTID:0000109	Pteridines and derivatives
CHEMONTID:0000110	Pterins and derivatives
CHEMONTID:0000111	Tetrazoles
CHEMONTID:0000112	Hydrazines and derivatives
CHEMONTID:0000113	Phenylhydrazines
CHEMONTID:0000114	Semicarbazides
CHEMONTID:0000115	Semicarbazones
CHEMONTID:0000116	Hydrazones
CHEMONTID:0000117	Imines
CHEMONTID:0000118	Ketones
CHEMONTID:0000119	Acetophenones
CHEMONTID:0000120	Benzophenones
CHEMONTID:0000121	Thioketones
CHEMONTID:0000122	Alpha-amino ketones
CHEMONTID:0000123	Benzopyrans
CHEMONTID:0000124	Aldehydes
CHEMONTID:0000125	Quinomethanes
CHEMONTID:0000126	Organic azides
CHEMONTID:0000127	Isoindoles
CHEMONTID:0000128	Alkyl aryl ethers
CHEMONTID:0000129	Alcohols and polyols
CHEMONTID:0000130	Azaspirodecane derivatives
CHEMONTID:0000131	Enediols
CHEMONTID:0000132	Enols
CHEMONTID:0000133	1,3-dicarbonyl compounds
CHEMONTID:0000134	Phenols
CHEMONTID:0000135	Catechols
CHEMONTID:0000136	Hydroquinones
CHEMONTID:0000137	Resorcinols
CHEMONTID:0000138	Anisoles
CHEMONTID:0000139	Tyrosols and derivatives
CHEMONTID:0000140	Aminophenols
CHEMONTID:0000141	Nitrophenols
CHEMONTID:0000142	Stilbene glycosides
CHEMONTID:0000143	Bisphenols
CHEMONTID:0000144	Chromones
CHEMONTID:0000145	Coumarins and derivatives
CHEMONTID:0000146	Acylaminosugars
CHEMONTID:0000147	Macrolides and analogues
CHEMONTID:0000148	Dithiazoles
CHEMONTID:0000149	Aflatoxins
CHEMONTID:0000150	Dibenzoxazepines
CHEMONTID:0000151	Anthraquinones
CHEMONTID:0000152	M-iminoquinones
CHEMONTID:0000153	Naphthoquinones
CHEMONTID:0000154	Pentacenequinones
CHEMONTID:0000155	Tetracenequinones
CHEMONTID:0000156	Adamantanones
CHEMONTID:0000157	Carbodiimides
CHEMONTID:0000158	N-organohydroxylamines
CHEMONTID:0000159	Epoxides
CHEMONTID:0000160	Lactams
CHEMONTID:0000161	Epothilones and analogues
CHEMONTID:0000162	Beta lactams
CHEMONTID:0000163	Caprolactams
CHEMONTID:0000164	Delta lactams
CHEMONTID:0000165	Gamma lactams
CHEMONTID:0000166	Thiolactams
CHEMONTID:0000167	Carbapenems
CHEMONTID:0000168	Cephems
CHEMONTID:0000169	Clavams
CHEMONTID:0000170	Monobactams
CHEMONTID:0000171	Oxacephems
CHEMONTID:0000172	Penams
CHEMONTID:0000173	Cephalosporins
CHEMONTID:0000174	Penicillins
CHEMONTID:0000175	Glycerolipids
CHEMONTID:0000176	Benzoic acids and derivatives
CHEMONTID:0000177	Imidazopyridinones
CHEMONTID:0000178	Benzamides
CHEMONTID:0000179	Hippuric acids and derivatives
CHEMONTID:0000180	Oleanane triterpenoids
CHEMONTID:0000181	Tetracyclines
CHEMONTID:0000182	Catecholamines and derivatives
CHEMONTID:0000183	Tryptamines and derivatives
CHEMONTID:0000184	Pheniramines
CHEMONTID:0000185	Phenylmethylamines
CHEMONTID:0000186	Phenethylamines
CHEMONTID:0000187	Phenylpropylamines
CHEMONTID:0000188	Amphetamines and derivatives
CHEMONTID:0000189	Piperazines
CHEMONTID:0000190	Methoxyphenols
CHEMONTID:0000191	Diazaspirononane derivatives
CHEMONTID:0000192	Cyclopyrrolones
CHEMONTID:0000193	Dioxoles
CHEMONTID:0000194	Nitrofurans
CHEMONTID:0000195	Piperidines
CHEMONTID:0000196	Oxazolidinones
CHEMONTID:0000197	Oxazolidinediones
CHEMONTID:0000198	Oligosaccharides
CHEMONTID:0000199	Thioxanthenes
CHEMONTID:0000200	Xanthenes
CHEMONTID:0000201	Tocopherols
CHEMONTID:0000202	Psoralens
CHEMONTID:0000203	Thioxanthones
CHEMONTID:0000204	Xanthones
CHEMONTID:0000205	Pyrazolones
CHEMONTID:0000206	Cinnolines
CHEMONTID:0000207	Phthalazines
CHEMONTID:0000208	Pyridazinones
CHEMONTID:0000209	Phthalazinones
CHEMONTID:0000210	Carbazoles
CHEMONTID:0000211	Indoles and derivatives
CHEMONTID:0000212	Porphyrins
CHEMONTID:0000213	Pyrrolopyridines
CHEMONTID:0000214	Hydroxyeicosapentaenoic acids
CHEMONTID:0000215	Sugar acids and derivatives
CHEMONTID:0000216	Indolizines
CHEMONTID:0000217	Pyrazolidines
CHEMONTID:0000218	Pyrrolidines
CHEMONTID:0000219	Pyrrolizines
CHEMONTID:0000220	Pyrrolizidines
CHEMONTID:0000221	Quinolizidines
CHEMONTID:0000222	Quinolizines
CHEMONTID:0000223	Hydrophenanthrenes
CHEMONTID:0000224	Thiadiazines
CHEMONTID:0000225	Nitrothiazoles
CHEMONTID:0000226	Thiazolidines
CHEMONTID:0000227	Thiazolidinones
CHEMONTID:0000228	Thiazolidinediones
CHEMONTID:0000229	Thiazolines
CHEMONTID:0000230	Organic superoxides
CHEMONTID:0000231	Benzothiepins
CHEMONTID:0000232	Dibenzothiepins
CHEMONTID:0000233	Thiolanes
CHEMONTID:0000234	Triazolones
CHEMONTID:0000235	Triazolidines
CHEMONTID:0000236	Ellagic acids and derivatives
CHEMONTID:0000237	Acyl monophosphates
CHEMONTID:0000238	Tannins
CHEMONTID:0000239	Indolizinoquinolines
CHEMONTID:0000240	Camptothecins
CHEMONTID:0000241	Pyranoindolizines
CHEMONTID:0000242	Nitroimidazoles
CHEMONTID:0000243	Thienoimidazoles
CHEMONTID:0000244	Biotin and derivatives
CHEMONTID:0000245	Purines and purine derivatives
CHEMONTID:0000246	Hypoxanthines
CHEMONTID:0000247	Xanthines
CHEMONTID:0000248	1,2-dioxoles
CHEMONTID:0000249	Thioxanthines
CHEMONTID:0000250	Imidazolidines
CHEMONTID:0000251	Indolizidines
CHEMONTID:0000252	Quinuclidines
CHEMONTID:0000253	Stilbenes
CHEMONTID:0000254	Ethers
CHEMONTID:0000255	Folic acids and derivatives
CHEMONTID:0000256	Glycerophospholipids
CHEMONTID:0000257	Sphingolipids
CHEMONTID:0000258	Steroids and steroid derivatives
CHEMONTID:0000259	Prenol lipids
CHEMONTID:0000260	Monohydroxy bile acids, alcohols and derivatives
CHEMONTID:0000261	Phenylpropanoids and polyketides
CHEMONTID:0000262	Fatty acids and conjugates
CHEMONTID:0000263	Sesquiterpene glycosides
CHEMONTID:0000264	Organic acids and derivatives
CHEMONTID:0000265	Carboxylic acids and derivatives
CHEMONTID:0000266	Short-chain hydroxy acids and derivatives
CHEMONTID:0000267	Organohalogen compounds
CHEMONTID:0000268	Organosulfenic acids and derivatives
CHEMONTID:0000269	Sulfinic acids and derivatives
CHEMONTID:0000270	Organosulfonic acids and derivatives
CHEMONTID:0000271	Carbamic acids
CHEMONTID:0000272	1,3-dioxoles
CHEMONTID:0000273	Miscellaneous chromates
CHEMONTID:0000274	Acridines
CHEMONTID:0000275	Acryloyl compounds
CHEMONTID:0000276	Acyl glycines
CHEMONTID:0000277	Organoalkaline-earth metal compounds
CHEMONTID:0000278	Organonitrogen compounds
CHEMONTID:0000279	Alkaloids and derivatives
CHEMONTID:0000280	Beta-amino ketones
CHEMONTID:0000281	Aminobenzoic acids and derivatives
CHEMONTID:0000282	Aminoglycosides
CHEMONTID:0000283	Aminopyridines and derivatives
CHEMONTID:0000284	Aniline and substituted anilines
alt_CHEMONTID:0003923	CHEMONTID:0000285	Anilides
CHEMONTID:0000286	Primary alcohols
CHEMONTID:0000287	Organomagnesium compounds
CHEMONTID:0000288	Thioanisoles
CHEMONTID:0000289	Nucleosides, nucleotides, and analogues
CHEMONTID:0000290	Azulenes
CHEMONTID:0000291	Pyrimidones
CHEMONTID:0000292	Barbituric acid derivatives
CHEMONTID:0000293	Benzazepines
CHEMONTID:0000294	Benzimidazoles
CHEMONTID:0000295	Benzodiazepines
CHEMONTID:0000296	Benzodioxoles
CHEMONTID:0000297	Lysophosphatidylglycerols
CHEMONTID:0000298	Fatty aldehydes
CHEMONTID:0000299	Medium-chain hydroxy acids and derivatives
CHEMONTID:0000300	Benzarsoles
CHEMONTID:0000301	Benzofurans
CHEMONTID:0000302	Benzoxazoles
CHEMONTID:0000303	Phenylpiperidines
CHEMONTID:0000304	Pyrazolopyridines
CHEMONTID:0000305	Pyrazolopyrimidines
CHEMONTID:0000306	Phenyltetrazoles and derivatives
CHEMONTID:0000307	Azepanes
CHEMONTID:0000308	Benzothiadiazines
CHEMONTID:0000309	Benzothiazines
CHEMONTID:0000310	Phenothiazines
CHEMONTID:0000311	Benzothiazoles
CHEMONTID:0000312	Benzothiophenes
CHEMONTID:0000313	Triazolopyrazines
CHEMONTID:0000314	Triazolopyridines
CHEMONTID:0000315	Benzotriazoles
CHEMONTID:0000316	Benzopyrenes
CHEMONTID:0000317	Benzothiazepines
CHEMONTID:0000318	Carbamic acids and derivatives
CHEMONTID:0000319	Benzoxazepines
CHEMONTID:0000320	Dibenzazepines
CHEMONTID:0000321	Benzoyl derivatives
CHEMONTID:0000322	Betaxanthins and derivatives
CHEMONTID:0000323	Organooxygen compounds
CHEMONTID:0000324	Fatty acid esters
CHEMONTID:0000325	Biphenols
CHEMONTID:0000326	Bipyridines and oligopyridines
CHEMONTID:0000327	Bisphosphonates
CHEMONTID:0000328	Imidazopyridines
CHEMONTID:0000329	Phenylazirines
CHEMONTID:0000330	Phenylbenzimidazoles
CHEMONTID:0000331	Fatty amides
CHEMONTID:0000332	Phosphatidylglycerophosphates
CHEMONTID:0000333	Straight chain fatty acids
CHEMONTID:0000334	Flavonoids
CHEMONTID:0000335	N-acylpiperidines
CHEMONTID:0000336	Anthocyanidins
CHEMONTID:0000337	Flavans
CHEMONTID:0000338	Branched fatty acids
CHEMONTID:0000339	Unsaturated fatty acids
CHEMONTID:0000340	Hydroperoxy fatty acids
CHEMONTID:0000341	Hydroxy fatty acids
CHEMONTID:0000342	Pyridinylpyrimidines
CHEMONTID:0000343	Pyrrolopyrazines
CHEMONTID:0000344	Thienopyridines
CHEMONTID:0000345	Azaborinanes
CHEMONTID:0000346	Dicarboxylic acids and derivatives
CHEMONTID:0000347	Amino acids and derivatives
CHEMONTID:0000348	Peptides
CHEMONTID:0000349	Organoantimony compounds
CHEMONTID:0000350	Butyrophenones
CHEMONTID:0000351	Biflorane and serrulatane diterpenoids
CHEMONTID:0000352	Cobalamin derivatives
CHEMONTID:0000353	Corrinoids
CHEMONTID:0000354	Coumestans
CHEMONTID:0000355	Cumenes
CHEMONTID:0000356	Curcuminoids
CHEMONTID:0000357	Sesquaterpenoids
CHEMONTID:0000358	Furanocoumarins
CHEMONTID:0000359	Thietanes
CHEMONTID:0000360	Thietes
CHEMONTID:0000361	Organic cyanamides
CHEMONTID:0000362	Nitriles
CHEMONTID:0000363	Cyanates
CHEMONTID:0000364	Organic carbonic acids and derivatives
CHEMONTID:0000365	Cyclamates
CHEMONTID:0000366	Nitrosimines
CHEMONTID:0000367	Dihydropyridines
CHEMONTID:0000368	Dioxanes
CHEMONTID:0000369	Diphenylmethanes
CHEMONTID:0000370	Phenylmorpholines
CHEMONTID:0000371	Ergotamines, dihydroergotamines, and derivatives
CHEMONTID:0000372	Fentanyls
CHEMONTID:0000373	Glucosinolates
CHEMONTID:0000374	Glucuronides
CHEMONTID:0000375	Guanidines
CHEMONTID:0000376	Hydroxamic acids
CHEMONTID:0000377	Thiiranes
CHEMONTID:0000378	Dithietanes
CHEMONTID:0000379	Proanthocyanidins
CHEMONTID:0000380	Hydroxyquinols and derivatives
CHEMONTID:0000381	Aporphines
CHEMONTID:0000382	Phloroglucinols and derivatives
CHEMONTID:0000383	Hydroperoxyeicosatrienoic acids
CHEMONTID:0000384	Alloxazines and isoalloxazines
CHEMONTID:0000385	Batrachotoxins and derivatives
CHEMONTID:0000386	Acyl cholines
CHEMONTID:0000387	Hydroperoxyeicosatetraenoic acids
CHEMONTID:0000388	Ketenes
CHEMONTID:0000389	Keto acids and derivatives
CHEMONTID:0000390	Indolequinones
CHEMONTID:0000391	Mitomycins
CHEMONTID:0000392	Morpholines
CHEMONTID:0000393	Oxoeicosapolyenoic acids
CHEMONTID:0000394	Alpha amino acid esters
CHEMONTID:0000395	Organic nitrates
CHEMONTID:0000396	Organic nitrites
CHEMONTID:0000397	Pyrogallols and derivatives
CHEMONTID:0000398	Nitrogen mustard compounds
CHEMONTID:0000399	Phenylazides
CHEMONTID:0000400	Organophosphorus compounds
CHEMONTID:0000401	Organic phosphines and derivatives
CHEMONTID:0000402	Organic phosphoric acids and derivatives
CHEMONTID:0000403	Organic sulfuric acids and derivatives
CHEMONTID:0000404	Miscellaneous chromites
CHEMONTID:0000405	Organoarsenic compounds
CHEMONTID:0000406	Organolithium compounds
CHEMONTID:0000407	Organomercurial compounds
CHEMONTID:0000408	Phosphate esters
CHEMONTID:0000409	Keto fatty acids
CHEMONTID:0000410	Azo compounds
CHEMONTID:0000411	Oximes
CHEMONTID:0000412	Dioxetanes
CHEMONTID:0000413	Pentalenes
CHEMONTID:0000414	Organic peroxides
CHEMONTID:0000415	Boronic acids
CHEMONTID:0000416	Phenazines and derivatives
CHEMONTID:0000417	Phenoxyacetic acid derivatives
CHEMONTID:0000418	Phenylacetic acids
CHEMONTID:0000419	Organic phosphonic acids and derivatives
CHEMONTID:0000420	Chlorinated dibenzo-p-dioxins
CHEMONTID:0000421	Methoxy fatty acids
CHEMONTID:0000422	Homogeneous metal compounds
CHEMONTID:0000423	Homogeneous non-metal compounds
CHEMONTID:0000424	Mixed metal/non-metal compounds
CHEMONTID:0000425	Homogeneous alkali metal compounds
CHEMONTID:0000426	Homogeneous transition metal compounds
CHEMONTID:0000427	Homogeneous post-transition metal compounds
CHEMONTID:0000428	Homogeneous alkaline earth metal compounds
CHEMONTID:0000429	Homogeneous lanthanide compounds
CHEMONTID:0000430	Homogeneous actinide compounds
CHEMONTID:0000431	Homogeneous metalloid compounds
CHEMONTID:0000432	Homogeneous halogens
CHEMONTID:0000433	Homogeneous noble gases
CHEMONTID:0000434	Homogeneous other non-metal compounds
CHEMONTID:0000435	Non-metal oxoanionic compounds
CHEMONTID:0000436	Azoles
CHEMONTID:0000437	Other non-metal halides
CHEMONTID:0000438	Alkali metal salts
CHEMONTID:0000439	Alkaline earth metal salts
CHEMONTID:0000440	Lanthanide salts
CHEMONTID:0000441	Actinide salts
CHEMONTID:0000442	Metalloid salts
CHEMONTID:0000443	Transition metal salts
CHEMONTID:0000444	Post-transition metal salts
CHEMONTID:0000445	Alkali metal oxoanionic compounds
CHEMONTID:0000446	Alkaline earth metal oxoanionic compounds
CHEMONTID:0000447	Lanthanide oxoanionic compounds
CHEMONTID:0000448	Actinide oxoanionic compounds
CHEMONTID:0000449	Metalloid oxoanionic compounds
CHEMONTID:0000450	Transition metal oxoanionic compounds
CHEMONTID:0000451	Post-transition metal oxoanionic compounds
CHEMONTID:0000452	Metalloporphyrins
CHEMONTID:0000453	Other non-metal organides
CHEMONTID:0000454	Halogen organides
CHEMONTID:0000455	Actinide organides
CHEMONTID:0000456	Alkali metal organides
CHEMONTID:0000457	Alkaline earth metal organides
CHEMONTID:0000458	Post-transition metal organides
CHEMONTID:0000459	Lanthanide organides
CHEMONTID:0000460	Metalloid organides
CHEMONTID:0000461	Transition metal organides
CHEMONTID:0000462	Organometallic compounds
CHEMONTID:0000463	Organic oxoanionic compounds
CHEMONTID:0000464	Acetylenedicarboxylates
CHEMONTID:0000465	Coumaric acid esters
CHEMONTID:0000466	Fulminates
CHEMONTID:0000467	Phenylcarbamic acids
CHEMONTID:0000468	Dicarbonic acids and derivatives
CHEMONTID:0000469	Monoalkylamines
CHEMONTID:0000470	Enamines
CHEMONTID:0000471	Nitro fatty acids
CHEMONTID:0000472	Hydroxy acids and derivatives
CHEMONTID:0000473	Organogold compounds
CHEMONTID:0000474	Biguanides
CHEMONTID:0000475	Carboxylic acid amides
CHEMONTID:0000476	Cinnamic acids and derivatives
CHEMONTID:0000477	Acyclic sesquiterpenoids
CHEMONTID:0000478	Polyprenyl phosphates
CHEMONTID:0000479	Purine nucleosides
CHEMONTID:0000480	Pyrimidine nucleosides
CHEMONTID:0000481	Pyranones and derivatives
CHEMONTID:0000482	Trithiolanes
CHEMONTID:0000483	Halogenated fatty acids
CHEMONTID:0000484	Dithiolanes
CHEMONTID:0000485	Quinazolines
CHEMONTID:0000486	Quinoxalines
CHEMONTID:0000487	Salicylic acid and derivatives
CHEMONTID:0000488	Organic nitric acids and derivatives
CHEMONTID:0000489	Amino fatty acids
CHEMONTID:0000490	Sulfonylureas
CHEMONTID:0000491	Sulfoxides
CHEMONTID:0000492	Tropane alkaloids
CHEMONTID:0000493	Thiaziridines
CHEMONTID:0000494	Isoflavones
CHEMONTID:0000495	Carbocyclic fatty acids
CHEMONTID:0000496	Amine oxides and derivatives
CHEMONTID:0000497	Aminals
CHEMONTID:0000498	Boronic acid derivatives
CHEMONTID:0000499	Imidoesters
CHEMONTID:0000500	Chlorinated biphenyls
CHEMONTID:0000501	Isocyanates
CHEMONTID:0000502	Xanthanolides
CHEMONTID:0000503	Quaternary ammonium salts
CHEMONTID:0000504	Lineolic acids and derivatives
CHEMONTID:0000505	Sulfones
CHEMONTID:0000506	Sulfonyl halides
CHEMONTID:0000507	Isoflavonoid O-glycosides
CHEMONTID:0000508	Organic sulfonium compounds
CHEMONTID:0000509	Sultams
CHEMONTID:0000510	Thioamides
CHEMONTID:0000511	12-oxophytodienoic acid metabolites
CHEMONTID:0000512	Jasmonic acids
CHEMONTID:0000513	Eicosanoids
CHEMONTID:0000514	Prostaglandins and related compounds
CHEMONTID:0000515	Leukotrienes
CHEMONTID:0000516	Dihydroxy bile acids, alcohols and derivatives
CHEMONTID:0000517	Ureas
CHEMONTID:0000518	Triphenylenes
CHEMONTID:0000519	Thromboxanes
CHEMONTID:0000520	Actinide hydrides
CHEMONTID:0000521	Actinide nitrides
CHEMONTID:0000522	Actinide oxides
CHEMONTID:0000523	Actinide sulfides
CHEMONTID:0000524	Alkali metal hydrides
CHEMONTID:0000525	Alkali metal nitrides
CHEMONTID:0000526	Alkali metal oxides
CHEMONTID:0000527	Alkali metal sulfides
CHEMONTID:0000528	Post-transition metal hydrides
CHEMONTID:0000529	Post-transition metal nitrides
CHEMONTID:0000530	Post-transition metal oxides
CHEMONTID:0000531	Post-transition metal sulfides
CHEMONTID:0000532	Metalloid hydrides
CHEMONTID:0000533	Metalloid nitrides
CHEMONTID:0000534	Metalloid oxides
CHEMONTID:0000535	Metalloid sulfides
CHEMONTID:0000536	Transition metal hydrides
CHEMONTID:0000537	Transition metal nitrides
CHEMONTID:0000538	Transition metal oxides
CHEMONTID:0000539	Transition metal sulfides
CHEMONTID:0000540	Lanthanide hydrides
CHEMONTID:0000541	Lanthanide nitrides
CHEMONTID:0000542	Lanthanide oxides
CHEMONTID:0000543	Lanthanide sulfides
CHEMONTID:0000544	Alkaline earth metal hydrides
CHEMONTID:0000545	Alkaline earth metal nitrides
CHEMONTID:0000546	Alkaline earth metal oxides
CHEMONTID:0000547	Alkaline earth metal sulfides
CHEMONTID:0000548	Halogen hydrides
CHEMONTID:0000549	Halogen nitrides
CHEMONTID:0000550	Halogen oxides
CHEMONTID:0000551	Halogen sulfides
CHEMONTID:0000552	Other non-metal hydrides
CHEMONTID:0000553	Other non-metal nitrides
CHEMONTID:0000554	Other non-metal oxides
CHEMONTID:0000555	Other non-metal sulfides
CHEMONTID:0000556	Actinide astatides
CHEMONTID:0000557	Actinide bromides
CHEMONTID:0000558	Actinide chlorides
CHEMONTID:0000559	Actinide fluorides
CHEMONTID:0000560	Actinide iodides
CHEMONTID:0000561	Alkali metal astatides
CHEMONTID:0000562	Alkali metal bromides
CHEMONTID:0000563	Alkali metal chlorides
CHEMONTID:0000564	Alkali metal fluorides
CHEMONTID:0000565	Alkali metal iodides
CHEMONTID:0000566	Alkaline earth metal astatides
CHEMONTID:0000567	Alkaline earth metal bromides
CHEMONTID:0000568	Alkaline earth metal chlorides
CHEMONTID:0000569	Alkaline earth metal fluorides
CHEMONTID:0000570	Alkaline earth metal iodides
CHEMONTID:0000571	Post-transition metal astatides
CHEMONTID:0000572	Post-transition metal bromides
CHEMONTID:0000573	Post-transition metal chlorides
CHEMONTID:0000574	Post-transition metal fluorides
CHEMONTID:0000575	Post-transition metal iodides
CHEMONTID:0000576	Lanthanide astatides
CHEMONTID:0000577	Lanthanide bromides
CHEMONTID:0000578	Lanthanide chlorides
CHEMONTID:0000579	Lanthanide fluorides
CHEMONTID:0000580	Lanthanide iodides
CHEMONTID:0000581	Metalloid astatides
CHEMONTID:0000582	Metalloid bromides
CHEMONTID:0000583	Metalloid chlorides
CHEMONTID:0000584	Metalloid fluorides
CHEMONTID:0000585	Metalloid iodides
CHEMONTID:0000586	Transition metal astatides
CHEMONTID:0000587	Transition metal bromides
CHEMONTID:0000588	Transition metal chlorides
CHEMONTID:0000589	Transition metal fluorides
CHEMONTID:0000590	Transition metal iodides
CHEMONTID:0000591	Actinide bromates
CHEMONTID:0000592	Actinide chlorates
CHEMONTID:0000593	Actinide chlorites
CHEMONTID:0000594	Actinide chromates
CHEMONTID:0000595	Actinide chromites
CHEMONTID:0000596	Actinide cyanates
CHEMONTID:0000597	Purinones
CHEMONTID:0000598	Actinide hydroxides
CHEMONTID:0000599	Actinide hypobromites
CHEMONTID:0000600	Actinide hypochlorites
CHEMONTID:0000601	Actinide hyponitrites
CHEMONTID:0000602	Actinide hypophosphites
CHEMONTID:0000603	Actinide iodates
CHEMONTID:0000604	Actinide nitrites
CHEMONTID:0000605	Actinide nitrates
CHEMONTID:0000606	Actinide orthonitrates
CHEMONTID:0000607	Actinide perbromates
CHEMONTID:0000608	Actinide perchlorates
CHEMONTID:0000609	Actinide periodates
CHEMONTID:0000610	Actinide permanganates
CHEMONTID:0000611	Actinide peroxynitrates
CHEMONTID:0000612	Actinide peroxynitrites
CHEMONTID:0000613	Actinide perrhenates
CHEMONTID:0000614	Actinide pertechnetates
CHEMONTID:0000615	Actinide phosphites
CHEMONTID:0000616	Actinide phosphates
CHEMONTID:0000617	Actinide pyrophosphates
CHEMONTID:0000618	Actinide selenates
CHEMONTID:0000619	Actinide selenites
CHEMONTID:0000620	Actinide sulfates
CHEMONTID:0000621	Actinide sulfites
CHEMONTID:0000622	Actinide superoxides
CHEMONTID:0000623	N,N-diphenylcarbamic acids
CHEMONTID:0000624	Actinide peroxomonosulfates
CHEMONTID:0000625	Actinide peroxodisulfates
CHEMONTID:0000626	Actinide pyrosulfates
CHEMONTID:0000627	Actinide tetrathionates
CHEMONTID:0000628	Actinide thiosulfates
CHEMONTID:0000629	Actinide dithionites
CHEMONTID:0000630	Actinide hyposulfites
CHEMONTID:0000631	Alkali metal bromates
CHEMONTID:0000632	Alkali metal chlorates
CHEMONTID:0000633	Alkali metal chlorites
CHEMONTID:0000634	Alkali metal chromates
CHEMONTID:0000635	Alkali metal chromites
CHEMONTID:0000636	Alkali metal cyanates
CHEMONTID:0000637	Glycosylglycerols
CHEMONTID:0000638	Alkali metal hydroxides
